Weights of ConvLayers:
dense_42/kernel:0,"(8, 32)"
dense_42/bias:0,"(32,)"
dense_43/kernel:0,"(32, 1)"
dense_43/bias:0,"(1,)"
dense_44/kernel:0,"(8, 32)"
dense_44/bias:0,"(32,)"
dense_45/kernel:0,"(32, 1)"
dense_45/bias:0,"(1,)"
dense_46/kernel:0,"(8, 32)"
dense_46/bias:0,"(32,)"
dense_47/kernel:0,"(32, 1)"
dense_47/bias:0,"(1,)"
dense_48/kernel:0,"(8, 32)"
dense_48/bias:0,"(32,)"
dense_49/kernel:0,"(32, 1)"
dense_49/bias:0,"(1,)"
dense_50/kernel:0,"(8, 32)"
dense_50/bias:0,"(32,)"
dense_51/kernel:0,"(32, 1)"
dense_51/bias:0,"(1,)"
dense_52/kernel:0,"(8, 32)"
dense_52/bias:0,"(32,)"
dense_53/kernel:0,"(32, 1)"
dense_53/bias:0,"(1,)"
dense_54/kernel:0,"(8, 32)"
dense_54/bias:0,"(32,)"
dense_55/kernel:0,"(32, 1)"
dense_55/bias:0,"(1,)"
dense_56/kernel:0,"(8, 32)"
dense_56/bias:0,"(32,)"
dense_57/kernel:0,"(32, 1)"
dense_57/bias:0,"(1,)"
dense_58/kernel:0,"(8, 32)"
dense_58/bias:0,"(32,)"
dense_59/kernel:0,"(32, 1)"
dense_59/bias:0,"(1,)"
dense_60/kernel:0,"(8, 32)"
dense_60/bias:0,"(32,)"
dense_61/kernel:0,"(32, 1)"
dense_61/bias:0,"(1,)"
dense_62/kernel:0,"(8, 32)"
dense_62/bias:0,"(32,)"
dense_63/kernel:0,"(32, 1)"
dense_63/bias:0,"(1,)"
dense_64/kernel:0,"(8, 32)"
dense_64/bias:0,"(32,)"
dense_65/kernel:0,"(32, 1)"
dense_65/bias:0,"(1,)"
dense_66/kernel:0,"(8, 32)"
dense_66/bias:0,"(32,)"
dense_67/kernel:0,"(32, 1)"
dense_67/bias:0,"(1,)"
dense_68/kernel:0,"(8, 32)"
dense_68/bias:0,"(32,)"
dense_69/kernel:0,"(32, 1)"
dense_69/bias:0,"(1,)"
dense_70/kernel:0,"(8, 32)"
dense_70/bias:0,"(32,)"
dense_71/kernel:0,"(32, 1)"
dense_71/bias:0,"(1,)"
dense_72/kernel:0,"(8, 32)"
dense_72/bias:0,"(32,)"
dense_73/kernel:0,"(32, 1)"
dense_73/bias:0,"(1,)"
dense_74/kernel:0,"(8, 32)"
dense_74/bias:0,"(32,)"
dense_75/kernel:0,"(32, 1)"
dense_75/bias:0,"(1,)"
dense_76/kernel:0,"(8, 32)"
dense_76/bias:0,"(32,)"
dense_77/kernel:0,"(32, 1)"
dense_77/bias:0,"(1,)"
dense_78/kernel:0,"(8, 32)"
dense_78/bias:0,"(32,)"
dense_79/kernel:0,"(32, 1)"
dense_79/bias:0,"(1,)"
dense_80/kernel:0,"(8, 32)"
dense_80/bias:0,"(32,)"
dense_81/kernel:0,"(32, 1)"
dense_81/bias:0,"(1,)"
dense_82/kernel:0,"(8, 32)"
dense_82/bias:0,"(32,)"
dense_83/kernel:0,"(32, 1)"
dense_83/bias:0,"(1,)"
dense_84/kernel:0,"(8, 32)"
dense_84/bias:0,"(32,)"
dense_85/kernel:0,"(32, 1)"
dense_85/bias:0,"(1,)"
dense_86/kernel:0,"(8, 32)"
dense_86/bias:0,"(32,)"
dense_87/kernel:0,"(32, 1)"
dense_87/bias:0,"(1,)"
dense_88/kernel:0,"(8, 32)"
dense_88/bias:0,"(32,)"
dense_89/kernel:0,"(32, 1)"
dense_89/bias:0,"(1,)"
dense_90/kernel:0,"(8, 32)"
dense_90/bias:0,"(32,)"
dense_91/kernel:0,"(32, 1)"
dense_91/bias:0,"(1,)"
dense_92/kernel:0,"(8, 32)"
dense_92/bias:0,"(32,)"
dense_93/kernel:0,"(32, 1)"
dense_93/bias:0,"(1,)"
dense_94/kernel:0,"(8, 32)"
dense_94/bias:0,"(32,)"
dense_95/kernel:0,"(32, 1)"
dense_95/bias:0,"(1,)"
dense_96/kernel:0,"(8, 32)"
dense_96/bias:0,"(32,)"
dense_97/kernel:0,"(32, 1)"
dense_97/bias:0,"(1,)"
dense_98/kernel:0,"(8, 32)"
dense_98/bias:0,"(32,)"
dense_99/kernel:0,"(32, 1)"
dense_99/bias:0,"(1,)"
dense_100/kernel:0,"(8, 32)"
dense_100/bias:0,"(32,)"
dense_101/kernel:0,"(32, 1)"
dense_101/bias:0,"(1,)"
dense_102/kernel:0,"(8, 32)"
dense_102/bias:0,"(32,)"
dense_103/kernel:0,"(32, 1)"
dense_103/bias:0,"(1,)"
dense_104/kernel:0,"(8, 32)"
dense_104/bias:0,"(32,)"
dense_105/kernel:0,"(32, 1)"
